,Ticker,name,logo
0,AALI,Astra Agro Lestari Tbk,https://s3.goapi.id/logo/AALI.jpg
1,ABBA,Mahaka Media Tbk,https://s3.goapi.id/logo/ABBA.jpg
2,ABDA,Asuransi Bina Dana Arta Tbk,https://s3.goapi.id/logo/ABDA.jpg
3,ABMM,ABM Investama Tbk,https://s3.goapi.id/logo/ABMM.jpg
4,ACES,Ace Hardware Indonesia Tbk,https://s3.goapi.id/logo/ACES.jpg
5,ACST,PT Acset Indonusa Tbk.,https://s3.goapi.id/logo/ACST.jpg
6,ADCP,PT Adhi Commuter Properti Tbk,https://s3.goapi.id/logo/ADCP.jpg
7,ADES,Akasha Wira International Tbk  Tbk,https://s3.goapi.id/logo/ADES.jpg
8,ADFO,PT Adindo Foresta Indonesia Tbk,https://s3.goapi.id/logo/ADFO.jpg
9,ADHI,PT Adhi Karya (Persero) Tbk.,https://s3.goapi.id/logo/ADHI.jpg
10,ADMF,Adira Dinamika Multi Finance Tbk,https://s3.goapi.id/logo/ADMF.jpg
11,ADMG,Polychem Indonesia Tbk,https://s3.goapi.id/logo/ADMG.jpg
12,ADMR,PT Adaro Minerals Indonesia Tbk,https://s3.goapi.id/logo/ADMR.jpg
13,ADRO,Adaro Energy Indonesia Tbk,https://s3.goapi.id/logo/ADRO.jpg
14,AGAR,PT Asia Sejahtera Mina Tbk,https://s3.goapi.id/logo/AGAR.jpg
15,AGII,PT Aneka Gas Industri Tbk.,https://s3.goapi.id/logo/AGII.jpg
16,AGRO,PT Bank Raya Indonesia Tbk,https://s3.goapi.id/logo/AGRO.jpg
17,AGRS,PT Bank IBK Indonesia Tbk.,https://s3.goapi.id/logo/AGRS.jpg
18,AHAP,Asuransi Harta Aman Pratama Tbk,https://s3.goapi.id/logo/AHAP.jpg
19,AIMS,Akbar Indomakmur Stimec Tbk,https://s3.goapi.id/logo/AIMS.jpg
20,AISA,PT FKS Food Sejahtera Tbk,https://s3.goapi.id/logo/AISA.jpg
21,AKKU,PT Anugerah Kagum Karya Utama Tbk,https://s3.goapi.id/logo/AKKU.jpg
22,AKPI,Argha Karya Prima Ind. Tbk,https://s3.goapi.id/logo/AKPI.jpg
23,AKRA,PT AKR Corporindo Tbk.,https://s3.goapi.id/logo/AKRA.jpg
24,AKSI,PT Mineral Sumberdaya Mandiri Tbk,https://s3.goapi.id/logo/AKSI.jpg
25,ALDO,Alkindo Naratama Tbk,https://s3.goapi.id/logo/ALDO.jpg
26,ALKA,Alakasa Industrindo Tbk,https://s3.goapi.id/logo/ALKA.jpg
27,ALMI,Alumindo Light Metal Industry Tbk,https://s3.goapi.id/logo/ALMI.jpg
28,ALTO,Tri Banyan Tirta Tbk,https://s3.goapi.id/logo/ALTO.jpg
29,AMAG,Asuransi Multi Artha Guna Tbk,https://s3.goapi.id/logo/AMAG.jpg
30,AMAN,PT Makmur Berkah Amanda Tbk.,https://s3.goapi.id/logo/AMAN.jpg
31,AMAR,PT Bank Amar Indonesia Tbk.,https://s3.goapi.id/logo/AMAR.jpg
32,AMFG,Asahimas Flat Glass Tbk,https://s3.goapi.id/logo/AMFG.jpg
33,AMIN,PT Ateliers Mecaniques D Indonesie Tbk.,https://s3.goapi.id/logo/AMIN.jpg
34,AMMS,PT Agung Menjangan Mas Tbk,https://s3.goapi.id/logo/AMMS.jpg
35,AMOR,PT Ashmore Asset Management Indonesia Tbk.,https://s3.goapi.id/logo/AMOR.jpg
36,AMRT,PT Sumber Alfaria Trijaya Tbk.,https://s3.goapi.id/logo/AMRT.jpg
37,ANDI,PT Andira Agro Tbk,https://s3.goapi.id/logo/ANDI.jpg
38,ANJT,PT Austindo Nusantara Jaya Tbk.,https://s3.goapi.id/logo/ANJT.jpg
39,ANTM,Aneka Tambang Tbk.,https://s3.goapi.id/logo/ANTM.jpg
40,APEX,Apexindo Pratama Duta Tbk,https://s3.goapi.id/logo/APEX.jpg
41,APIC,PACIFIC STRATEGIC FINANCIAL Tbk,https://s3.goapi.id/logo/APIC.jpg
42,APII,PT Arita Prima Indonesia Tbk.,https://s3.goapi.id/logo/APII.jpg
43,APLI,Asiaplast Industries Tbk,https://s3.goapi.id/logo/APLI.jpg
44,APLN,PT Agung Podomoro Land Tbk.,https://s3.goapi.id/logo/APLN.jpg
45,APOL,Arpeni Pratama Ocean Line Tbk,https://s3.goapi.id/logo/APOL.jpg
46,ARCI,PT Archi Indonesia Tbk,https://s3.goapi.id/logo/ARCI.jpg
47,ARGO,Argo Pantes Tbk,https://s3.goapi.id/logo/ARGO.jpg
48,ARII,Atlas Resources Tbk,https://s3.goapi.id/logo/ARII.jpg
49,ARKA,PT Arkha Jayanti Persada Tbk.,https://s3.goapi.id/logo/ARKA.jpg
50,ARKO,PT Arkora Hydro Tbk.,https://s3.goapi.id/logo/ARKO.jpg
51,ARMY,PT Armidian Karyatama Tbk,https://s3.goapi.id/logo/ARMY.jpg
52,ARNA,Arwana Citramulia Tbk,https://s3.goapi.id/logo/ARNA.jpg
53,ARTA,Arthavest Tbk,https://s3.goapi.id/logo/ARTA.jpg
54,ARTI,Ratu Prabu Energi Tbk,https://s3.goapi.id/logo/ARTI.jpg
55,ARTO,PT Bank Jago Tbk.,https://s3.goapi.id/logo/ARTO.jpg
56,ASBI,Asuransi Bintang Tbk,https://s3.goapi.id/logo/ASBI.jpg
57,ASDM,Asuransi Dayin Mitra Tbk,https://s3.goapi.id/logo/ASDM.jpg
58,ASGR,Astra Graphia Tbk,https://s3.goapi.id/logo/ASGR.jpg
59,ASHA,PT Cilacap Samudera Fishing Industry Tbk,https://s3.goapi.id/logo/ASHA.jpg
60,ASII,Astra International Tbk,https://s3.goapi.id/logo/ASII.jpg
61,ASJT,Asuransi Jasa Tania Tbk,https://s3.goapi.id/logo/ASJT.jpg
