,Ticker,Training Data Size,Test Data Size,Accuracy,train_true,train_false,coef,intercept
0,ACES.JK,967,241,0.6099585062240664,424,543,[-0.32699374  0.01917537  0.0023786   0.03526105  0.8815086 ],-0.253156703370952
1,ADRO.JK,967,241,0.5103734439834025,412,555,[-0.10809772  0.00844868 -0.04196061 -0.03724509 -0.16820964],-0.3075427701266861
2,AKRA.JK,968,241,0.5560165975103735,408,560,[-0.03570734 -0.06432629  0.06428933  0.00063     0.34641557],-0.32374621911045176
3,AMRT.JK,967,241,0.4979253112033195,346,621,[-0.10003628  0.00129642  0.03419808  0.00566029 -1.2076168 ],-0.5797039630634505
4,ANTM.JK,967,241,0.6307053941908713,408,559,[-0.00440155  0.00788794 -0.00905411  0.05513992 -0.14770492],-0.31143333886482377
5,ARTO.JK,967,241,0.6348547717842323,382,585,[ 0.01146047 -0.00315885 -0.00666603 -0.003883   -0.33954125],-0.4278968667493869
6,ASII.JK,967,241,0.5933609958506224,411,556,[-0.0407929  -0.0140337   0.01745262  0.00613782 -1.02053986],-0.2963130647148409
7,BBCA.JK,968,241,0.5269709543568465,436,532,[-0.13575859 -0.01341206  0.00397272  0.00491379 -1.48836977],-0.19697371856221843
8,BBNI.JK,967,241,0.5684647302904564,426,541,[ 0.03537394  0.02290132  0.24943521 -0.00529695  0.26096189],-0.24150847959391034
9,BBRI.JK,967,241,0.5062240663900415,436,531,[-0.0208228  -0.00750924 -0.00314033  0.00511308 -0.41422375],-0.1944405059049581
10,BBTN.JK,967,241,0.5975103734439834,398,569,[ 0.00516673  0.00725232  0.00525463 -0.00690086 -0.06432676],-0.35533247187377737
11,BMRI.JK,968,241,0.5145228215767634,437,531,[-0.12274509  0.15864751 -0.01779734 -0.01005985 -0.17469109],-0.20019023535627772
12,BRIS.JK,967,241,0.6016597510373444,342,625,[ 0.22347808 -0.01089981  0.11761388  0.02312364 -0.07760196],-0.5976552190636639
13,BRPT.JK,968,241,0.5933609958506224,416,552,[ 0.16248603 -0.03493248  0.14636743  0.01355377 -0.5690578 ],-0.27960962445513887
14,BUKA.JK,320,79,0.6329113924050633,123,197,[ 0.02038593  0.24242625  0.06173173 -0.01071389 -0.21621495],-0.47752003634326595
15,CPIN.JK,967,241,0.5518672199170125,431,536,[-0.04459954 -0.00224064 -0.00255548  0.00932865 -0.69788139],-0.2184834292783653
16,ESSA.JK,967,241,0.5767634854771784,375,592,[-0.13105652 -0.04205016 -0.0067809   0.00725691 -1.02054056],-0.45427277905001423
17,EXCL.JK,967,241,0.5975103734439834,399,568,[-0.2779833  -0.00596634 -0.04681515  0.00242147 -0.42570886],-0.3551888354743006
18,GOTO.JK,184,46,0.5652173913043478,66,118,[ 0.11502474 -0.38932035  0.15677339 -0.05904873 -0.24081868],-0.598955012629309
19,HRUM.JK,968,241,0.5560165975103735,370,598,[ 0.1575813   0.01551337  0.00459355  0.04983127 -0.04027265],-0.47973154185736383
20,ICBP.JK,967,241,0.5435684647302904,420,547,[-0.19615533 -0.00251536  0.05098762 -0.0021902  -1.17800117],-0.2617333626612736
21,INCO.JK,967,241,0.5684647302904564,410,557,[-0.02315906 -0.0177214  -0.02895543 -0.01152559  0.62194217],-0.3068510306696312
22,INDF.JK,967,241,0.5767634854771784,416,551,[-0.11775773  0.0098023  -0.00311618  0.00062595  0.10438869],-0.28105384787943616
23,INDY.JK,967,241,0.5311203319502075,406,561,[-0.06740755 -0.02561865 -0.00400583  0.02719963 -0.00153358],-0.32750775709088187
24,INKP.JK,967,241,0.5975103734439834,395,572,[-0.39765752 -0.03332108  0.03467487 -0.01609805 -0.37233745],-0.37053723269923816
25,INTP.JK,967,241,0.5560165975103735,428,539,"[-8.34092472e-02  2.05431419e-02  5.75033018e-02 -1.10185968e-04
 -6.56925494e-01]",-0.2248044503832599
26,ITMG.JK,967,241,0.5062240663900415,443,524,[ 0.32645358 -0.03476627  0.00748779 -0.00160408  0.35712847],-0.16889406041409066
27,JPFA.JK,968,241,0.5933609958506224,406,562,[-0.15134923  0.00662314 -0.005254    0.00174943 -0.02237029],-0.32282038828970994
28,KLBF.JK,968,241,0.5435684647302904,415,553,"[-4.18363970e-02  1.62608692e-02 -3.88489170e-02 -4.17044667e-04
 -1.28186586e+00]",-0.28108710025534983
29,MDKA.JK,968,241,0.5892116182572614,431,537,[-0.26809351  0.02215724 -0.00050021 -0.00637545 -0.36057278],-0.22299302236946789
30,MEDC.JK,968,241,0.5228215767634855,375,593,[ 0.02336467  0.08931466  0.00501843  0.03644526 -0.8227543 ],-0.4550231692797792
31,PGAS.JK,967,241,0.5560165975103735,423,544,[-0.16479507 -0.01079482  0.03776062 -0.00550498 -0.34029628],-0.2500519192719005
32,PTBA.JK,967,241,0.5518672199170125,424,543,[ 0.02614571 -0.0370565  -0.16724399  0.01271703 -0.53222084],-0.24564163460719932
33,SCMA.JK,968,241,0.6348547717842323,389,579,[-0.06105337 -0.02135244  0.09355344  0.00464675 -1.05661144],-0.3966443678129499
34,SIDO.JK,968,241,0.6058091286307054,372,596,[-0.06362419  0.017854   -0.01164088 -0.03586327 -0.17989417],-0.4679580407224961
35,SMGR.JK,967,241,0.5892116182572614,424,543,[-0.00981272 -0.00104271 -0.00152142 -0.00912056 -0.56791605],-0.24320235202533264
36,SRTG.JK,968,241,0.6058091286307054,377,591,"[-7.53340693e-02 -3.88805480e-04 -6.99082219e-03 -3.76110929e-03
 -1.61464943e+00]",-0.44825469233681003
37,TBIG.JK,968,241,0.5767634854771784,424,544,[-0.02555037  0.00469394  0.0686957   0.01273086 -0.7143174 ],-0.24678535086190123
38,TINS.JK,967,241,0.6099585062240664,393,574,[-0.11563224 -0.09536821 -0.04452308  0.0043649  -0.55304408],-0.3796074684063534
39,TLKM.JK,967,241,0.5477178423236515,416,551,[-0.18141054  0.01570262 -0.01653662 -0.00136919 -0.60349204],-0.2869082685228377
40,TOWR.JK,967,241,0.5933609958506224,368,599,[-0.12535282 -0.01148642 -0.01042444  0.01966109 -1.1402691 ],-0.4832002197673281
41,TPIA.JK,968,241,0.5933609958506224,462,506,[ 0.65505393 -0.03068254 -0.33146601 -0.01355192  0.54434768],-0.10905075541689022
42,UNTR.JK,967,241,0.5435684647302904,431,536,[-0.04310167 -0.03418202  0.0064501  -0.00949621 -0.92271624],-0.2106825267149848
43,UNVR.JK,968,241,0.5394190871369294,396,572,[-0.02203266  0.01857117 -0.01006922 -0.00053836 -0.5235017 ],-0.36484898808649063
